StimA,StimB,.thisRepN,.thisTrialN,.thisN,.thisIndex,my_response,my_response_time,date,participant,
D,E,0,0,0,0,1,1.5063645198,2016_Jun_20_1404,7,
B,F,0,1,1,1,0,0.502150244953,2016_Jun_20_1404,7,
A,C,0,2,2,2,1,0.400569183694,2016_Jun_20_1404,7,
B,D,0,3,3,3,0,0.302206818451,2016_Jun_20_1404,7,
C,F,0,4,4,4,1,0.10059081958,2016_Jun_20_1404,7,
F,F,0,5,5,5,0,0.202373459877,2016_Jun_20_1404,7,
E,D,0,6,6,6,1,0.402042229776,2016_Jun_20_1404,7,
B,F,0,7,7,7,0,0.202587355365,2016_Jun_20_1404,7,
C,D,0,8,8,8,1,0.40410277003,2016_Jun_20_1404,7,
F,D,0,9,9,9,0,0.303262747824,2016_Jun_20_1404,7,
A,D,0,10,10,10,1,0.200987860531,2016_Jun_20_1404,7,
E,E,0,11,11,11,0,0.403329297638,2016_Jun_20_1404,7,
B,C,0,12,12,12,1,0.300907844707,2016_Jun_20_1404,7,
D,B,0,13,13,13,0,0.301551583922,2016_Jun_20_1404,7,
B,C,0,14,14,14,1,0.300926319353,2016_Jun_20_1404,7,
F,B,0,15,15,15,0,0.301536393643,2016_Jun_20_1404,7,
D,E,0,16,16,16,0,0.100648296298,2016_Jun_20_1404,7,
F,E,0,17,17,17,0,0.100683603407,2016_Jun_20_1404,7,
A,C,0,18,18,18,0,0.100591640658,2016_Jun_20_1404,7,
C,C,0,19,19,19,0,0.200917246257,2016_Jun_20_1404,7,
