StimA,StimB,.thisRepN,.thisTrialN,.thisN,.thisIndex,my_response,my_response_time,date,participant,
A,D,0,0,0,0,0,8.031054669,2016_Jun_20_1421,3,
C,D,0,1,1,1,1,1.50534020262,2016_Jun_20_1421,3,
F,A,0,2,2,2,0,0.401783995098,2016_Jun_20_1421,3,
E,A,0,3,3,3,1,0.603249322885,2016_Jun_20_1421,3,
B,A,0,4,4,4,1,0.401943287725,2016_Jun_20_1421,3,
A,F,0,5,5,5,1,1.00365018196,2016_Jun_20_1421,3,
B,C,0,6,6,6,1,0.301099570614,2016_Jun_20_1421,3,
E,A,0,7,7,7,1,0.401812322933,2016_Jun_20_1421,3,
A,C,0,8,8,8,1,0.603337590699,2016_Jun_20_1421,3,
A,F,0,9,9,9,1,0.3006886121,2016_Jun_20_1421,3,
F,A,0,10,10,10,1,0.703706714383,2016_Jun_20_1421,3,
A,B,0,11,11,11,1,4.92516572794,2016_Jun_20_1421,3,
C,B,0,12,12,12,1,0.402874410502,2016_Jun_20_1421,3,
F,B,0,13,13,13,1,0.200544058142,2016_Jun_20_1421,3,
A,E,0,14,14,14,1,0.40167150498,2016_Jun_20_1421,3,
E,D,0,15,15,15,1,0.301637798984,2016_Jun_20_1421,3,
F,E,0,16,16,16,1,0.301621377061,2016_Jun_20_1421,3,
B,B,0,17,17,17,1,0.202064317273,2016_Jun_20_1421,3,
F,E,0,18,18,18,1,0.20007028582,2016_Jun_20_1421,3,
C,F,0,19,19,19,1,0.401403417171,2016_Jun_20_1421,3,
