StimA,StimB,.thisRepN,.thisTrialN,.thisN,.thisIndex,my_response,my_response_time,date,participant,
B,D,0,0,0,0,0,3.51589251688,2016_Jun_21_1142,9,
B,F,0,1,1,1,0,0.402743445709,2016_Jun_21_1142,9,
A,D,0,2,2,2,0,0.100725068769,2016_Jun_21_1142,9,
D,D,0,3,3,3,0,0.100455338717,2016_Jun_21_1142,9,
D,B,0,4,4,4,0,0.200981291709,2016_Jun_21_1142,9,
B,E,0,5,5,5,0,0.100190124766,2016_Jun_21_1142,9,
A,D,0,6,6,6,0,0.100723426556,2016_Jun_21_1142,9,
E,E,0,7,7,7,1,0.503966098593,2016_Jun_21_1142,9,
B,B,0,8,8,8,0,0.201719046396,2016_Jun_21_1142,9,
A,E,0,9,9,9,0,0.100594925054,2016_Jun_21_1142,9,
D,A,0,10,10,10,0,0.301574985147,2016_Jun_21_1142,9,
B,C,0,11,11,11,0,0.604994151799,2016_Jun_21_1142,9,
